"important";0.04812;0.00122;0.12065;0.01641;-0.45166;0.3837
"capacité";0.59631;0.23005;-0.1374;0.02615;0.25757;0.1533
"heure";0.29783;0.01201;-0.73415;0.15624;-0.63372;0.19424
"encore";0.27327;0.0573;0.22839;0.08569;-0.25023;0.17161
"période";-0.86908;0.80685;0.36;0.29638;-0.16917;0.10919
"local";0.43974;0.1862;0.17266;0.06146;0.0145;0.00072
"dynamique";0.65929;0.51011;0.30914;0.2401;0.27548;0.3181
"nombreux";-0.22112;0.04267;-0.09079;0.0154;0.04538;0.00642
"entrée";-0.13282;0.01062;0.41999;0.22726;-0.26002;0.14533
"document";-0.29308;0.07237;-0.06157;0.00684;0.40579;0.49554
"Afrique";0.08688;0.00897;-0.17878;0.08133;0.17401;0.12855
"règle";-0.00583;0;-0.59957;0.06947;0.24979;0.02012
"article";-0.45885;0.02851;0.27739;0.02231;-0.15738;0.01198
"religieux";-0.70864;0.50622;-0.05762;0.00716;-0.01822;0.0012
"très";0.32422;0.10122;-0.22149;0.10112;0.0033;4e-05
"aller";-0.20442;0.04276;-0.71944;1.13365;0.00703;0.00018
"fin";-0.43056;0.15341;-0.00769;1e-04;-0.1227;0.0445
"souligner";0.57604;0.18472;-0.08953;0.00955;-0.02475;0.00122
"proposition";-1.03213;0.01603;-0.79061;0.02013;0.8261;0.03667
"enseignement";0.26063;0.04906;0.80423;0.99998;0.05493;0.00778
"constituer";0.24542;0.04441;-0.05434;0.00466;-0.12266;0.03962
"contexte";-0.21976;0.0436;-0.42828;0.35448;0.2145;0.14835
"depuis";-0.2149;0.04308;0.0916;0.01676;-0.14016;0.06545
"chacun";-0.54386;0.12461;-0.35663;0.11471;0.68497;0.70598
"consacrer";-0.26573;0.06268;-0.5758;0.63005;-0.08677;0.02387
"région";0.86131;0.75901;-0.08464;0.01569;0.02478;0.00224
"n";-0.44561;0.14938;-0.86781;1.21284;0.26018;0.18189
"croissance";0.72163;0.58763;0.33112;0.26486;0.11687;0.05505
"organisation";0.26348;0.06267;-0.33517;0.2171;0.15885;0.08136
"durable";0.83001;0.70483;0.13023;0.03715;0.01119;0.00046
"production";0.34026;0.07316;-0.44064;0.26267;-0.42943;0.41622
"fois";-0.24253;0.04956;0.1314;0.03114;-0.22125;0.14732
"cela";-0.19324;0.01405;0.15707;0.01987;0.00487;3e-05
"particulier";0.23694;0.03379;0.15661;0.0316;-0.25423;0.13894
"élection";-0.82972;0.13466;0.9458;0.37456;-0.71388;0.35603
"connaître";-0.20915;0.02303;0.32948;0.12238;-0.22328;0.09377
"pourquoi";0.13542;0.008;0.71882;0.48264;0.35057;0.19153
"sens|sen";-0.4926;0.16064;-0.50009;0.35443;0.57196;0.77352
"moins";0.16964;0.01905;0.05553;0.00437;0.07529;0.0134
"vote";-0.81064;0.26695;1.1095;1.07053;-0.85906;1.07079
"occasion";0.48512;0.16996;0.49045;0.37188;0.80062;1.65345
"part";0.06246;0.00329;-0.32482;0.1903;0.01482;0.00066
"caractère";-0.09699;0.00269;-0.0631;0.00244;0.11212;0.01283
"lutte";-0.32541;0.02231;0.27981;0.03531;0.10885;0.00891
"trois";-0.34526;0.09685;-0.31399;0.17148;0.09903;0.02846
"afin";0.55569;0.08363;0.20322;0.02394;0.58556;0.33167
"voir";-0.69273;0.27437;0.31284;0.11979;-0.27242;0.15155
"mode";0.51358;0.14287;-0.05948;0.0041;0.16812;0.05468
"collectif";-0.34631;0.02526;0.1428;0.00919;-0.04838;0.00176
"publique";0.18004;0.01024;-0.29187;0.05762;0.29045;0.0952
"manière";0.16145;0.02039;0.41323;0.28601;-0.0637;0.01134
"façon";-0.34057;0.01047;-0.53437;0.05518;-0.10603;0.00362
"amener";0.49339;0.06227;0.0669;0.00245;-0.0497;0.00226
"pauvreté";0.97946;0.98152;-0.478;0.50044;-0.44424;0.72116
"limite";-0.08918;0.00132;0.94486;0.31631;-0.41766;0.10312
"fr";-0.20733;0.04139;-0.89917;1.66666;0.03027;0.00315
"organiser";0.18477;0.01233;-0.35892;0.09959;-0.30246;0.11799
"fondamental";-0.19511;0.00974;0.30994;0.0526;-0.43716;0.17459
"définition";0.04845;0.00028;-0.18321;0.00865;0.20574;0.0182
"plusieurs";0.40768;0.11503;0.18494;0.05068;0.36342;0.32648
"donc";-0.32804;0.05667;-0.18703;0.03943;0.18371;0.06348
"réfléchir";-0.08013;0.00116;0.08359;0.0027;0.47055;0.14279
"réaliser";0.15008;0.00949;0.05934;0.00318;0.05449;0.00447
"face";0.2408;0.03664;0.18716;0.04739;0.14436;0.04704
"perspective";0.56856;0.28696;-0.22775;0.09857;-0.09532;0.02881
"condition";0.09057;0.00531;0.00418;2e-05;-0.14386;0.04782
