  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
constituer;0.152;0.11;0.009;0.163;0.349;0.043;0.02;0.015;0.106;0.005
contexte;0.091;0.09;0.21;0.007;0.062;0.001;0.001;0.5;0.013;0.01
depuis;0.194;0.001;0.082;0.091;0.416;0.127;0.009;0.069;0.001;0.01
chacun;0.143;0;0.063;0.185;0.038;0.129;0.146;0.012;0.004;0.002
consacrer;0.081;0.181;0.341;0.062;0.027;0.179;0;0.035;0.091;0.001
région;0.235;0.439;0.028;0.127;0.003;0.11;0.014;0.015;0.002;0.003
n;0.114;0.002;0.436;0.232;0.03;0.051;0;0.025;0.008;0.07
croissance;0.335;0.183;0.084;0.007;0.038;0.083;0.183;0.045;0.025;0.004
organisation;0.049;0.209;0.318;0.01;0.002;0.001;0.006;0.006;0.007;0.03
durable;0.613;0.182;0.077;0.065;0.018;0.004;0.005;0.005;0.024;0
production;0.125;0.053;0.058;0.003;0.519;0.013;0;0.076;0.016;0.004
fois;0.37;0.011;0.039;0.137;0.024;0.08;0.13;0.125;0.028;0.022
cela;0.123;0.003;0.062;0.003;0.237;0.038;0.293;0.004;0.201;0.011
particulier;0.144;0.046;0.02;0;0.024;0.131;0.058;0.413;0.07;0.016
élection;0.254;0;0.487;0.017;0.091;0.039;0;0.001;0.002;0.085
connaître;0.115;0.02;0.14;0.004;0;0.204;0.012;0.077;0.42;0.008
pourquoi;0;0.306;0.287;0.007;0.225;0.001;0.015;0.033;0.005;0.052
sens|sen;0.258;0.001;0.268;0.011;0.004;0;0.067;0.222;0.139;0.003
moins;0.215;0.031;0.02;0.258;0.202;0;0.007;0.081;0.02;0.152
vote;0.214;0;0.563;0.009;0.143;0.018;0.001;0.001;0;0.031
occasion;0.156;0.141;0.058;0.038;0.169;0.08;0.223;0.075;0;0.03
part;0.07;0.371;0.37;0.015;0.005;0.003;0.038;0.033;0.049;0.018
caractère;0.004;0.012;0.089;0.048;0.093;0.195;0.002;0.201;0.011;0.038
lutte;0.03;0.237;0.05;0.003;0.318;0.001;0.125;0.11;0;0.076
trois;0.223;0.07;0.352;0.009;0.001;0.068;0.008;0.021;0;0.026
afin;0.284;0.192;0.004;0.003;0.123;0.003;0.19;0.113;0.042;0.012
voir;0.661;0.03;0.14;0.078;0.003;0.039;0;0.002;0.006;0.027
mode;0.545;0.117;0;0.003;0.033;0.114;0.062;0;0.105;0.003
collectif;0.155;0.246;0.099;0.026;0.032;0.027;0.236;0.032;0.031;0.061
publique;0;0.079;0.07;0.357;0;0.181;0.037;0.026;0.104;0.029
manière;0.077;0.001;0.584;0.06;0.006;0.107;0.001;0.011;0.007;0.066
façon;0.008;0.007;0.21;0.033;0.075;0.213;0.004;0.316;0.001;0.018
amener;0.321;0.005;0.027;0.142;0.132;0.004;0.339;0.006;0.001;0
pauvreté;0.543;0.397;0;0.021;0.019;0.009;0.007;0.001;0;0.003
limite;0.012;0.021;0.387;0.067;0.036;0.016;0.001;0.291;0.001;0.065
fr;0.03;0;0.23;0.528;0.105;0;0.001;0.02;0.045;0.011
organiser;0.049;0;0.118;0.083;0.063;0.279;0.096;0.028;0.197;0.036
fondamental;0.038;0.036;0.336;0.106;0.149;0.019;0;0.041;0.131;0.064
définition;0.004;0;0.064;0.034;0.352;0.071;0.346;0.006;0.03;0.033
plusieurs;0.229;0.181;0.001;0.047;0.028;0.056;0.328;0.043;0.005;0.048
donc;0.107;0.345;0.038;0.005;0.11;0.165;0.01;0.01;0.164;0.031
réfléchir;0.01;0.322;0.008;0.001;0.031;0.315;0.113;0.041;0.024;0.002
réaliser;0;0.29;0.001;0.064;0.148;0.097;0.021;0.024;0.001;0.26
face;0.24;0.073;0.31;0.089;0.001;0.105;0.04;0.011;0.124;0.001
perspective;0.56;0.004;0.031;0.268;0.015;0.01;0.015;0.017;0.005;0.001
condition;0.012;0.266;0.047;0.05;0.018;0.104;0.11;0;0.294;0.059
troisième;0.122;0.098;0.001;0.47;0.147;0.007;0.009;0.08;0.05;0.014
texte;0.294;0.011;0.163;0.061;0;0.252;0.012;0;0.029;0.09
interroger;0.129;0.07;0.008;0.244;0.075;0.252;0.067;0.011;0.121;0.008
activité;0.246;0.014;0.188;0.024;0.001;0.06;0.03;0.014;0.073;0.337
démographique;0.423;0.262;0.067;0.066;0.042;0.057;0.068;0;0.007;0.001
médias;0.435;0.008;0.1;0.128;0.241;0.032;0.023;0;0.024;0.007
vers;0.013;0.186;0.044;0.117;0.02;0.149;0.067;0;0.032;0.334
éviter;0.004;0;0.035;0.385;0.002;0.058;0.131;0.049;0.109;0.202
association;0.017;0.201;0.064;0.003;0.033;0.422;0.095;0.003;0.141;0.02
tel;0.129;0;0.228;0.036;0.289;0.05;0.094;0.017;0.028;0.037
image;0.232;0.026;0.451;0.001;0.002;0.056;0.103;0.074;0.006;0.011
universel;0.09;0.007;0.45;0.001;0.047;0.252;0.001;0.008;0.02;0.124
finalité;0.006;0.098;0.01;0.247;0.01;0.075;0;0.015;0.007;0.062
autrui;0.239;0.018;0.105;0.009;0.003;0.035;0.163;0.212;0.037;0.177
